1;-24,08012285;-52,36123693;80;1
2;-24,08092027;-52,36063689;80;1
3;-24,0875113;-52,35568877;77;1
4;-24,08342493;-52,35876263;81;1
5;-24,09420296;-52,35576816;23;1
6;-24,08549055;-52,35720228;79;1
7;-24,08059318;-52,36088608;82;1
8;-24,08627205;-52,35661318;77;1
9;-24,08266018;-52,35933414;82;1
10;-24,08440645;-52,35801722;83;1
11;-24,31948605;-52,35714203;57;1
12;-24,32160802;-52,36183774;48;1
13;-24,32019342;-52,35868894;53;1
14;-24,08506629;-52,35751721;78;1
15;-24,08128447;-52,36036553;81;1
16;-24,08704357;-52,35602864;76;1
17;-24,32186543;-52,36242632;40;1
18;-24,32055;-52,35947783;48;1
19;-24,09503122;-52,35588582;30;1
20;-24,0858089;-52,35696358;79;1
21;-24,08670337;-52,3562893;77;1
22;-24,08380452;-52,35847547;81;1
23;-24,08224093;-52,35964668;86;1
24;-24,07974063;-52,36166486;76;1
25;-24,09450215;-52,35605873;27;1
26;-24,09467143;-52,35562927;29;1
27;-24,08175773;-52,3600113;81;1
28;-24,08299907;-52,35908002;82;1
29;-24,31908347;-52,35626326;59;1
30;-24,32114242;-52,36082465;45;1
31;-24,32703575;-52,36025306;38;1
32;-24,07968997;-52,36206502;66;1
33;-24,31980961;-52,3578595;50;1
34;-24,32679991;-52,35889962;24;1
35;-24,32664213;-52,3577611;42;1
36;-24,32739164;-52,362369;32;1
37;-24,32694287;-52,35990857;35;1
38;-24,32637112;-52,35636512;43;1
39;-24,32070771;-52,35986145;49;1
40;-24,32727697;-52,36093632;29;1
41;-24,32645746;-52,35682564;41;1
42;-24,31998279;-52,35824576;49;1
43;-24,32207736;-52,36286736;46;1
44;-24,31890156;-52,3558392;61;1
45;-24,32139966;-52,36137895;46;1
46;-24,31962921;-52,35746174;73;1
47;-24,32716223;-52,3627939;29;1
48;-24,32748326;-52,36144439;26;1
49;-24,32631587;-52,35606935;41;1
50;-24,09518504;-52,35571959;30;1
51;-24,08471424;-52,35778243;83;1
52;-24,31918449;-52,35649564;59;1
53;-24,3262592;-52,3557938;0;1
54;-25,37007089;-52,36179033;0;1
55;-24,08406153;-52,35827835;81;1
56;-24,3208923;-52,36026284;46;1
57;-24,32675456;-52,35820592;28;1
58;-24,32679086;-52,35926572;30;1
59;-24,32750453;-52,36176647;32;1
60;-24,32031492;-52,35895893;47;1
61;-24,32655;-52,35737059;33;1
62;-24,32715056;-52,36063376;35;1
63;-24,07984798;-52,3614491;78;1
64;-24,09717962;-52,34806583;44;1
65;-24,09697368;-52,34833758;36;1
66;-24,09600397;-52,35005482;24;1
67;-24,09476553;-52,35239992;34;1
68;-24,0957939;-52,35485493;30;1
69;-24,09408825;-52,35181421;34;1
70;-24,09043531;-52,35347504;70;1
71;-24,09810697;-52,3483963;28;1
72;-24,09538306;-52,35290239;32;1
73;-24,09586314;-52,3533554;28;1
74;-24,0924529;-52,35196367;48;1
75;-24,09403234;-52,3507634;51;1
76;-24,10371171;-52,33766972;73;1
77;-24,09506753;-52,35264631;34;1
78;-24,1013941;-52,34137011;74;1
79;-24,09961158;-52,34400023;68;1
80;-24,09487856;-52,355306;0;1
81;-24,09538841;-52,35064728;0;1
82;-24,10191372;-52,34060012;73;1
83;-24,09495564;-52,35004153;54;1
84;-24,09868442;-52,34536678;63;1
85;-24,10406101;-52,33656587;70;1
86;-24,09590275;-52,34913583;53;1
87;-24,08967698;-52,35405348;70;1
88;-24,10394191;-52,3370109;69;1
89;-24,08792851;-52,35536465;76;1
90;-24,0916628;-52,35255594;61;1
91;-24,10341247;-52,33831885;69;1
92;-24,09840144;-52,34578559;63;1
93;-24,09908439;-52,34963378;22;1
94;-24,09639708;-52,34859093;56;1
95;-24,10164002;-52,34100762;75;1
96;-24,09637086;-52,34973851;26;1
97;-24,09329752;-52,3514312;43;1
98;-24,09602267;-52,35413154;27;1
99;-24,09875458;-52,34914834;28;1
100;-24,09663984;-52,34934857;0;1
101;-24,09441974;-52,35211255;34;1
102;-24,10286465;-52,33919473;69;1
103;-24,09534655;-52,34968301;53;1
